1,1371.553971
2,2475.860361
3,2568.053416
4,1947.419669
5,2022.244692
6,2587.322122
7,2597.402597
8,2636.435539
9,2623.983207
10,2532.928065
11,2361.275089
12,2245.677072
13,2303.616678
14,2376.990730
15,2406.738869
16,219.206909
17,1791.472590
18,2376.990730
19,2394.636015
20,2370.229912
21,2360.717658
22,2283.626399
23,2218.278616
24,2192.021043
25,2222.716159
26,2211.900022
27,2212.878956
28,141.918454
29,1404.691670
30,2131.741633
31,2108.370230
32,2103.934357
33,2077.706212
34,2060.581084
35,1382.743363
36,1984.520738
37,1988.862371
38,1968.891514
39,1880.759827
40,189.454938
41,1287.664177
42,1692.620176
43,1850.138760
44,1721.763085
45,1810.610176
46,234.962406
47,1603.334937
48,1648.804617
49,1695.489997
50,1690.902942
51,1554.001554
52,1130.837951
53,1411.631846
54,1629.460649
55,1612.643122
56,1599.232368
57,1589.067218
58,280.938334
59,1109.016303
60,1523.461304
61,1500.150015
62,1504.664460
63,1383.317195
64,191.007373
65,1369.675387
66,1418.640942
67,1109.385400
68,1367.989056
69,1128.668172
70,1356.852103
71,1346.982759
72,1055.074910
73,1310.272537
74,1061.683831
75,1279.263144
76,1267.266506
77,1261.034048
78,1236.246755
79,1211.093618
80,1228.048631
81,1212.562144
82,197.230878
83,1155.668554
84,1161.980014
85,1157.809425
86,1142.465440
87,1127.268628
88,1098.297639
89,1108.278843
90,1095.770327
91,825.082508
92,1067.805659
93,1051.524711
94,1019.575856
95,1024.905196
96,1020.720629
97,1012.145749
98,1012.965964
99,987.069391
100,171.892189
101,976.944119
102,972.006221
103,959.048624
104,950.209046
105,938.790837
106,162.659813
107,713.215890
108,897.102359
109,883.236177
110,758.552681
111,872.371979
112,200.658159
113,865.351333
114,655.307995
115,835.910725
116,832.570144
117,715.461115
118,218.292949
119,814.531237
120,806.321561
121,804.699445
122,767.400813
123,760.398449
124,200.368678
125,571.984213
126,752.558700
127,563.221628
128,716.537690
129,736.051818
130,725.110579
131,722.230247
132,706.364343
133,709.572128
134,706.613906
135,692.664681
136,161.064313
137,685.541921
138,673.990699
139,672.721157
140,666.089389
141,662.207801
142,647.584510
143,551.389502
144,637.999234
145,634.316524
146,624.297665
147,613.308801
148,179.642870
149,605.877007
150,609.718920
151,600.168047
152,593.965312
153,595.344407
154,587.993179
155,583.566760
156,582.614775
157,486.783819
158,555.524693
159,542.888165
160,555.247085
161,553.771182
162,547.135744
163,538.358008
164,540.920647
165,537.778973
166,127.427494
167,524.493863
168,430.589046
169,514.562108
170,516.582292
171,513.347023
172,506.996552
173,501.127537
174,500.400320
175,443.164192
176,487.638367
177,483.863163
178,480.422772
179,477.691793
180,473.709143
181,413.086583
182,466.004940
183,460.256823
184,148.216218
185,451.650784
186,449.579643
187,450.227365
188,445.771854
189,442.321302
190,438.135296
191,434.367127
192,389.681241
193,430.978753
194,427.478305
195,422.672133
196,419.691946
197,358.358717
198,412.677451
199,409.735311
200,296.147126
201,375.911586
202,369.194418
203,370.178426
204,388.123423
205,383.862424
206,379.996960
207,381.562882
208,377.600725
209,377.686294
210,370.288084
211,367.457926
212,370.658660
213,367.444424
214,335.491663
215,360.243525
216,339.962604
217,355.682020
218,355.302896
219,351.037315
220,348.869662
221,302.938503
222,344.815696
223,341.833595
224,338.856698
225,308.394498
226,334.258114
227,330.218274
228,329.804426
229,329.608754
230,306.748466
231,324.538344
232,321.305787
233,317.591387
234,300.760925
235,315.059861
236,313.391206
237,310.135219
238,310.048678
239,291.681251
240,303.831313
241,302.169578
242,299.661383
243,269.432844
244,142.586229
245,276.189687
246,266.318677
247,292.073135
248,290.056851
249,288.267512
250,269.432844
251,283.873165
252,282.973485
253,281.396854
254,277.069711
255,277.608128
256,276.342333
257,248.052786
258,271.650549
259,270.138851
260,269.934676
261,257.320776
262,265.752478
263,264.165896
264,261.369577
265,258.337854
266,258.980136
267,257.791756
268,256.963717
269,240.425072
270,253.408342
271,251.958981
272,249.097023
273,249.850090
274,247.072194
275,246.335756
276,242.060418
277,244.128705
278,242.089718
279,231.980885
280,238.004570
281,237.732978
282,235.977063
283,219.963926
284,233.198078
285,232.769256
286,219.785050
287,229.463056
288,227.443310
289,208.615834
290,225.815193
291,224.799928
292,214.661372
293,222.642770
294,220.177022
295,218.321544
296,218.636582
297,217.329885
298,215.480090
299,213.899168
300,213.707178
301,211.797098
302,203.902698
303,210.411143
304,208.159867
305,194.772311
306,206.637186
307,205.145038
308,202.347228
309,202.782171
310,202.515239
311,200.340579
312,199.600798
313,199.187316
314,185.614849
315,196.583381
316,186.081131
317,194.757138
318,193.035287
319,181.372994
320,191.413204
321,190.803282
322,180.825287
323,187.684165
324,187.786374
325,180.554302
326,185.281257
327,183.755972
328,182.555040
329,183.076416
330,168.833361
331,181.002027
332,180.150967
333,168.055929
334,178.065849
335,168.123739
336,169.181837
337,174.440917
338,173.544827
339,173.574950
340,171.909919
341,171.850833
342,170.978166
343,170.151946
344,169.270613
345,168.642596
346,167.872551
347,166.752822
348,166.397657
349,165.453342
350,164.622603
351,164.217095
352,162.641295
353,162.179695
354,161.543059
355,161.111022
356,160.374635
357,158.275431
358,158.450983
359,157.853197
360,157.183276
361,156.550871
362,156.218268
363,154.942671
364,150.116340
365,152.963671
366,147.102089
367,151.779616
368,151.726649
369,150.950232
370,149.835181
371,149.743190
372,148.570749
373,124.982815
374,146.955091
375,146.021640
376,146.081367
377,137.313597
378,144.343885
379,135.908343
380,143.239798
381,135.316166
382,141.811787
383,141.049692
384,140.274096
385,140.120784
386,138.544452
387,138.807918
